sku,product_id,product_name,collection,price,size,gender,category,subcategory,short_description,why_buy_this,best_for,impression,you_will_like_it_if,avoid_if,longevity_score,projection_score,gift_safety_score,fresh_score,floral_score,woody_score,musky_score,oud_score,amber_score,sweet_score,spicy_score,scent_family,key_ingredients,concentration,perfumer,live_url
Main_11050000,onyx-143,ONYX,ALJAZEERA COLLECTION,155,100 ML,Unisex,PERFUMES,FLOWERS,FLORAL TAPESTRY OF EMOTIONS,"Choose ONYX if you want a floral, sweet fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a sweet touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,22,96,58,40,40,40,76,22,Floral,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/ONYX/143
Main_11082000,magic-145,MAGIC,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,"AN INTOXICATING, FLORAL MARINE SYMPHONY","Choose MAGIC if you want a floral, sweet fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a sweet touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",7,6,8,40,96,40,22,22,40,58,22,Floral,See long description,Eau de Parfum,Luc Dong,https://global.aljazeeraperfumes.com/en/product-details/MAGIC/145
Main_11680000,97-elysees-179,97 ELYSEES,ALJAZEERA PERFUMES,155,70 ML,Unisex,PERFUMES,FRESH,LUMINOUS AND HISTORIC ELYSEE JOURNEY,"Choose 97 ELYSEES if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a woody touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,58,96,58,22,22,22,40,22,Floral,See long description,,Fanny Bal,https://global.aljazeeraperfumes.com/en/product-details/97%20ELYSEES/179
Main_11870000,damascus-hairmist-187,DAMASCUS  HAIRMIST,ALJAZEERA COLLECTION,110,100 ML,Unisex,PERFUMES,FLOWERS,UNFORGETTABLE AND CELESTIAL DAMASCUS HERITAGE,"Choose DAMASCUS  HAIRMIST if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",7,6,8,76,96,22,40,22,40,40,22,Floral,See long description,Hair Mist,,https://global.aljazeeraperfumes.com/en/product-details/DAMASCUS%20%20HAIRMIST/187
Main_11690000,oryx-musk-221,ORYX MUSK,ORYX PERFUMES,215,60 ML,Unisex,PERFUMES,MUSK,DEPTH OF LUXURIOUS ALLURE,"Choose ORYX MUSK if you want a woody, musky fragrance that feels refined and memorable. It is best for evening, winter, luxury gift and helps customers understand the scent quickly before buying online.","Evening, Winter, Luxury Gift",Woody character with a musky touch,You enjoy musky perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,8,8,58,40,96,86,22,22,22,22,Musky,See long description,Eau de Parfum,Fanny Bal,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20MUSK/221
Main_11700000,oryx-rose-223,ORYX ROSE,ALJAZEERA COLLECTION,215,60 ML,Unisex,PERFUMES,FLOWERS,TOUCH OF UNFORGETTABLE MAGIC,"Choose ORYX ROSE if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",8,7,8,76,96,58,22,22,40,40,22,Floral,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20ROSE/223
12020000,oryx-oud-337,ORYX OUD,ORYX PERFUMES,215,60 ML,Unisex,PERFUMES,OUD,LUXURY IN PERFECT HARMONY,"Choose ORYX OUD if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a woody touch,You enjoy wood perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,58,94,58,22,40,40,40,58,Wood,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20OUD/337
12110000_variant,elegant-hair-mist-474,ELEGANT HAIR MIST,ALJAZEERA PERFUMES,110,100 ML,Unisex,PERFUMES,FRESH,ELEGANT BLOOMING HAIR AURA,"Choose ELEGANT HAIR MIST if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",7,6,8,94,96,40,40,22,40,22,22,Floral,See long description,Hair Mist,,https://global.aljazeeraperfumes.com/en/product-details/ELEGANT%20HAIR%20MIST/474
11940000,paris-magical-482,PARIS MAGICAL,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,PARIS MAGICAL Eau du Parfum,"Choose PARIS MAGICAL if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy fresh perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",7,6,8,86,96,40,40,22,40,40,22,Fresh,See long description,Eau de Parfum,Nelly Hachem,https://global.aljazeeraperfumes.com/en/product-details/PARIS%20MAGICAL/482
12450000,japanese-548,JAPANESE,ALJAZEERA PERFUMES,155,60 ML,Unisex,PERFUMES,LEATHER,SERENE NOTES WITH PURE BALANCE,"Choose JAPANESE if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions, Winter, Luxury Gift",Floral character with a woody touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,7,8,58,86,76,40,22,58,22,40,Floral,See long description,Eau de Parfum,Sophie Labb�,https://global.aljazeeraperfumes.com/en/product-details/JAPANESE/548
